"id","bsalary","gender","time","age","csalary","educlvl","work","jobcat","ethnic"
874,7800,"Male",86,30.92,21060,16,1.67,"Clerical","White"
875,6000,"Male",94,30.42,18060,15,3.33,"Clerical","White"
878,6300,"Male",89,31.42,12600,15,1.83,"Clerical","White"
880,5700,"Male",95,29.33,9300,12,3.83,"Office Trainee","White"
882,5640,"Male",92,34.25,9660,12,10.83,"Clerical","White"
883,6600,"Male",77,27.08,12300,15,3.42,"Clerical","White"
887,10500,"Male",94,39.67,29500,18,4.67,"College Trainee","White"
892,7800,"Male",81,33.33,20220,15,3.67,"Clerical","White"
894,15000,"Male",88,56.67,26000,21,22,"Exempt Employee","White"
896,8496,"Male",93,29.75,18400,16,2.92,"College Trainee","White"
897,6300,"Male",65,63.92,9780,15,28.17,"Clerical","White"
898,6300,"Male",69,59.42,11400,8,14.5,"Security Officer","White"
901,8100,"Male",66,30.75,13980,16,4.58,"Clerical","White"
903,5700,"Male",96,32.33,12480,15,4.5,"Clerical","White"
905,12792,"Male",69,28.83,26000,19,6.17,"College Trainee","White"
907,10992,"Male",80,45.67,20850,19,18.42,"Exempt Employee","White"
908,6000,"Male",82,30.25,10140,12,2.67,"Clerical","White"
909,6600,"Male",66,30,16140,15,6.67,"Clerical","White"
911,6300,"Male",91,30.33,15960,14,4.92,"Office Trainee","White"
917,5400,"Male",94,63,10020,12,37,"Clerical","White"
920,14496,"Male",78,39.42,20580,18,12.42,"Exempt Employee","White"
927,6000,"Male",87,39.33,10320,12,11.92,"Clerical","White"
928,12996,"Male",77,48.33,20000,16,22,"Exempt Employee","White"
930,14004,"Male",91,34.33,38800,19,5.67,"Exempt Employee","White"
931,5700,"Male",96,29.67,14460,12,6.92,"Office Trainee","White"
932,12792,"Male",79,29.17,26750,18,2.5,"Clerical","White"
933,6300,"Male",74,63.5,12780,8,34,"Security Officer","White"
934,6600,"Male",90,32.83,15120,14,5,"Office Trainee","White"
938,11496,"Male",92,31.33,29000,19,0.83,"College Trainee","White"
939,6300,"Male",79,54.17,12000,12,25.67,"Security Officer","White"
946,7200,"Male",77,30.92,13800,15,5.25,"Clerical","White"
950,21000,"Male",83,49.92,26700,16,21.5,"Technical","White"
951,12500,"Male",65,28.83,36250,19,1.5,"Exempt Employee","White"
958,6300,"Male",78,59.83,14100,12,32.25,"Security Officer","White"
959,6300,"Male",77,29.75,10500,15,3.17,"Clerical","White"
960,8592,"Male",93,30.25,18100,16,3,"College Trainee","White"
961,6300,"Male",66,28.67,12108,12,6.67,"Office Trainee","White"
962,5700,"Male",95,30.83,11700,8,4.17,"Clerical","White"
965,8700,"Male",79,29.58,33500,16,1,"College Trainee","White"
966,5700,"Male",97,31.75,18400,15,4,"Clerical","White"
968,6300,"Male",76,27.58,17364,15,1,"Office Trainee","White"
973,18000,"Male",96,39.67,44250,19,10,"Technical","White"
974,6420,"Male",66,60.67,10500,8,22,"Clerical","White"
975,6000,"Male",76,57.42,8820,12,32.08,"Clerical","White"
977,9300,"Male",86,32.25,18250,16,5,"College Trainee","White"
979,6000,"Male",96,32.17,16800,15,5.67,"Office Trainee","White"
982,7800,"Male",65,29.42,17460,16,1.58,"College Trainee","White"
983,6300,"Male",91,31.75,10980,15,4,"Office Trainee","White"
984,6000,"Male",78,30.42,10380,14,4.42,"Clerical","White"
985,5700,"Male",78,28.67,10020,15,2,"Clerical","White"
990,6000,"Male",88,46.25,12360,12,21,"Clerical","White"
993,14700,"Male",80,42.58,24750,19,16.58,"Exempt Employee","White"
996,13992,"Male",75,35.42,25000,18,6.17,"Exempt Employee","White"
997,8400,"Male",98,38.5,18000,15,11.5,"Clerical","White"
998,15996,"Male",96,44.92,36800,19,14.58,"Exempt Employee","White"
999,5400,"Male",95,56,12300,12,25.58,"Security Officer","White"
1001,8496,"Male",74,29.58,18900,16,3.75,"Exempt Employee","White"
1003,10500,"Male",87,39.67,16920,16,10.5,"College Trainee","White"
1005,11004,"Male",97,37.08,41500,16,5.83,"Exempt Employee","White"
1007,6300,"Male",70,29.08,11940,15,4,"Office Trainee","White"
1009,6600,"Male",79,30.67,13560,12,7.83,"Office Trainee","White"
1014,5100,"Male",78,25.58,10680,12,2.08,"Clerical","White"
1017,6900,"Male",75,34.67,10920,15,11,"Clerical","White"
1019,6000,"Male",83,50.25,13500,12,23.67,"Security Officer","White"
1020,5700,"Male",97,31.75,16920,12,8.58,"Clerical","White"
1021,6600,"Male",69,34.17,12060,14,9.17,"Clerical","White"
1022,8400,"Male",79,28.5,22600,16,1,"College Trainee","White"
1025,6000,"Male",87,64.25,12300,8,37.58,"Security Officer","White"
1026,14016,"Male",67,36.92,28000,19,6.25,"Exempt Employee","White"
1027,10992,"Male",92,32.25,27500,19,0.67,"College Trainee","White"
1029,6900,"Male",89,40.08,10920,12,14.58,"Clerical","White"
1033,6000,"Male",94,33.42,10800,12,10,"Office Trainee","White"
1035,6300,"Male",78,61.75,9600,8,39.67,"Clerical","White"
1037,10000,"Male",93,33.42,22620,16,2.83,"Exempt Employee","White"
1040,5400,"Male",94,32,10740,15,0.42,"Clerical","White"
1041,8496,"Male",77,29.67,17950,16,1.83,"Clerical","White"
1044,6300,"Male",70,28.42,10140,15,4.67,"Office Trainee","White"
1045,6240,"Male",85,55.58,10500,8,14.25,"Clerical","White"
1046,8100,"Male",93,31.75,16440,15,2.25,"Clerical","White"
1047,5400,"Male",91,27.58,12660,15,1.5,"Clerical","White"
1048,6300,"Male",67,32.08,13560,15,8,"Clerical","White"
1065,17004,"Male",65,34.5,30000,19,4.5,"MBA Trainee","White"
1067,5700,"Male",65,25.58,12660,15,0.83,"Office Trainee","White"
1070,5400,"Male",98,35.17,12840,15,5.58,"Clerical","White"
1071,6300,"Male",63,27.25,15660,15,3.83,"Office Trainee","White"
1075,13992,"Male",93,46,33000,17,17.25,"Technical","White"
1082,11796,"Male",91,31.67,36500,19,1.92,"College Trainee","White"
1084,6000,"Male",78,29.92,10740,12,4,"Clerical","White"
1088,6000,"Male",66,29.58,12960,15,5.33,"Clerical","White"
1089,12000,"Male",96,32.08,32500,17,1.5,"College Trainee","White"
1093,6600,"Male",73,30.17,14280,12,6,"Clerical","White"
1094,7500,"Male",98,37.17,14400,15,9.5,"Clerical","White"
1097,11496,"Male",65,28.42,24750,19,2.17,"Exempt Employee","White"
1101,12600,"Male",81,31.17,30000,19,1.08,"College Trainee","White"
1103,6300,"Male",82,30.08,11940,12,7.08,"Office Trainee","White"
1109,5640,"Male",90,32.25,13380,15,7.08,"Clerical","White"
1111,6600,"Male",67,30.75,10860,15,6.5,"Office Trainee","White"
1112,6300,"Male",89,34.83,10800,15,7.25,"Clerical","White"
1114,6600,"Male",90,31.67,12120,15,1.33,"Clerical","White"
1117,12996,"Male",69,34.92,26750,19,6.75,"MBA Trainee","White"
1120,6000,"Male",86,29,12360,15,2.08,"Clerical","White"
1123,6900,"Male",83,34.75,10920,15,7.58,"Clerical","White"
1124,6300,"Male",94,30.42,13560,15,6.5,"Office Trainee","White"
1126,4620,"Male",80,24.92,8520,8,2,"Clerical","White"
627,5100,"Female",95,53.33,8940,15,13.75,"Clerical","White"
631,4800,"Female",98,64.5,8580,12,31.75,"Clerical","White"
644,4500,"Female",80,24.5,7860,12,0.42,"Office Trainee","White"
645,4500,"Female",65,23,8700,12,0,"Office Trainee","White"
646,5280,"Female",98,46.42,8760,8,15.83,"Clerical","White"
648,4800,"Female",81,24.75,10980,8,0.75,"Office Trainee","White"
651,5400,"Female",69,25.75,9660,15,0.58,"Office Trainee","White"
662,4980,"Female",69,24.08,9780,12,1,"Office Trainee","White"
663,6900,"Female",85,32,14280,16,1.58,"Office Trainee","White"
664,5280,"Female",88,62.08,8040,8,7.5,"Clerical","White"
666,4500,"Female",80,24.33,8940,12,0.42,"Office Trainee","White"
667,4800,"Female",77,42.08,9000,12,5.25,"Clerical","White"
673,4800,"Female",76,40.17,8820,12,0.5,"Clerical","White"
674,7500,"Female",84,59.83,13800,12,17.33,"Clerical","White"
675,4800,"Female",69,23.25,8640,12,0,"Office Trainee","White"
680,4980,"Female",69,24.17,11160,12,0,"Office Trainee","White"
682,4500,"Female",66,23.58,8160,12,0,"Office Trainee","White"
684,5100,"Female",63,56.67,8580,12,11.58,"Office Trainee","White"
686,7200,"Female",93,29.67,21600,16,0.92,"Clerical","White"
691,4200,"Female",93,25.83,10560,12,0,"Office Trainee","White"
698,4500,"Female",81,24.83,9060,12,0,"Office Trainee","White"
700,6600,"Female",95,55.25,12000,12,19,"Clerical","White"
701,6600,"Female",73,24.92,8880,12,0.58,"Office Trainee","White"
710,6600,"Female",86,28.33,11760,15,2,"Office Trainee","White"
711,5400,"Female",86,27.42,13320,15,2,"Clerical","White"
713,7800,"Female",93,60.75,13560,15,16,"Clerical","White"
714,4980,"Female",69,23.25,11640,8,1.42,"Office Trainee","White"
716,4500,"Female",81,24.75,10920,12,0.42,"Office Trainee","White"
718,5520,"Female",82,46.5,9600,12,8.08,"Clerical","White"
720,4620,"Female",93,28.08,9660,15,0,"Office Trainee","White"
721,5400,"Female",88,28.17,8940,12,2.17,"Clerical","White"
723,4490,"Female",81,24.17,11100,12,0.42,"Clerical","White"
724,4500,"Female",80,25,9360,12,1.5,"Office Trainee","White"
728,5700,"Female",76,55.58,9000,12,7.5,"Clerical","White"
729,4500,"Female",69,23.42,9060,12,0.17,"Office Trainee","White"
731,6600,"Female",85,31.5,11400,12,5.75,"Clerical","White"
732,7500,"Female",68,51.92,10080,8,28.67,"Clerical","White"
737,7992,"Female",84,43.33,14400,12,20,"Clerical","White"
738,7500,"Female",81,32.92,21750,16,6.75,"College Trainee","White"
741,3900,"Female",98,27.25,8760,12,0,"Clerical","White"
742,5400,"Female",64,45.5,9360,12,16.5,"Office Trainee","White"
743,7500,"Female",90,61.67,12600,12,17.08,"Office Trainee","White"
746,4380,"Female",80,25.08,9720,12,0.67,"Office Trainee","White"
748,4080,"Female",70,63.83,6300,8,22.92,"Clerical","White"
749,4080,"Female",81,57.83,6960,8,32.5,"Clerical","White"
750,4620,"Female",93,26.83,11700,15,0.92,"Office Trainee","White"
753,4500,"Female",69,23.75,8340,12,0,"Office Trainee","White"
754,3900,"Female",92,55.5,6480,8,0,"Clerical","White"
758,9996,"Female",89,52.5,16620,16,23.75,"Exempt Employee","White"
762,4500,"Female",80,25.08,11400,12,0.33,"Office Trainee","White"
763,6600,"Female",84,61.33,11640,8,2.92,"Clerical","White"
770,4800,"Female",75,51.58,9780,12,12,"Clerical","White"
772,6120,"Female",78,52,9360,12,17.42,"Clerical","White"
774,4560,"Female",93,25.58,11040,12,0.5,"Office Trainee","White"
780,5340,"Female",88,27.67,14220,15,2.67,"Office Trainee","White"
781,4500,"Female",92,26.25,8040,12,2,"Office Trainee","White"
784,5220,"Female",70,55.92,7860,8,8.5,"Clerical","White"
788,5100,"Female",66,46.17,9660,8,8,"Clerical","White"
790,4620,"Female",74,24,10440,12,0.17,"Office Trainee","White"
793,5700,"Female",90,29.25,12660,12,4,"Clerical","White"
796,7800,"Female",82,58.75,11100,15,22.08,"Office Trainee","White"
800,4080,"Female",82,51.42,8940,8,4,"Clerical","White"
803,4800,"Female",76,26.25,10200,15,0.58,"Office Trainee","White"
809,5100,"Female",65,24.83,9000,12,2,"Office Trainee","White"
810,4380,"Female",92,25.42,9600,8,0.5,"Clerical","White"
813,5580,"Female",73,25.58,9180,15,1.83,"Office Trainee","White"
814,5700,"Female",77,30.25,10260,12,5.33,"Clerical","White"
815,4920,"Female",69,23.33,9180,12,0.42,"Clerical","White"
818,7800,"Female",64,26.83,13140,16,1.67,"Office Trainee","White"
824,5400,"Female",66,44.5,9540,15,10.17,"Clerical","White"
826,4080,"Female",72,61.5,7080,8,15.33,"Clerical","White"
828,4200,"Female",93,25.92,9180,12,0.83,"Office Trainee","White"
831,4080,"Female",85,55.08,6840,12,6,"Clerical","White"
832,4080,"Female",74,55.25,6360,8,3.58,"Clerical","White"
834,4380,"Female",92,25.42,10380,12,0,"Clerical","White"
835,5400,"Female",65,50.25,8640,8,14.42,"Clerical","White"
845,7200,"Female",81,26.58,16320,12,0.33,"Clerical","White"
847,4500,"Female",77,24.67,8520,12,0,"Office Trainee","White"
848,5400,"Female",66,25.17,11880,12,2.17,"Clerical","White"
849,4500,"Female",96,30.5,12540,8,4.33,"Clerical","White"
851,5400,"Female",70,52.33,8400,12,6.83,"Clerical","White"
852,5760,"Female",91,33.5,10080,12,6.92,"Clerical","White"
853,5520,"Female",67,57.83,8880,12,16.33,"Clerical","White"
858,5640,"Female",90,30.67,10080,12,4.58,"Clerical","White"
862,4800,"Female",73,49.17,9240,12,19,"Clerical","White"
863,7200,"Female",75,29.25,13200,16,2.17,"Office Trainee","White"
864,5400,"Female",66,64.25,8640,8,19,"Clerical","White"
865,4500,"Female",80,24.83,7980,12,0.67,"Clerical","White"
866,12000,"Female",73,31.92,22700,16,1.25,"Exempt Employee","White"
869,4080,"Female",82,60,6480,12,0,"Clerical","White"
871,4380,"Female",81,24.5,9240,12,0,"Office Trainee","White"
873,6000,"Female",76,27.25,11664,12,1.83,"Office Trainee","White"
876,4500,"Female",80,24.33,9360,12,0,"Office Trainee","White"
877,5100,"Female",82,27,8760,15,0,"Clerical","White"
879,4980,"Female",69,23.67,12240,12,0.42,"Office Trainee","White"
885,4380,"Female",81,24.33,9000,8,0.42,"Office Trainee","White"
886,4080,"Female",76,59.08,6720,8,6.33,"Clerical","White"
888,4500,"Female",69,23.42,8160,12,0,"Office Trainee","White"
902,4260,"Female",74,51.17,9480,8,23.42,"Clerical","White"
904,5400,"Female",77,27.08,11940,12,3.17,"Clerical","White"
906,4620,"Female",97,53.92,10500,12,4,"Clerical","White"
912,4620,"Female",81,24.58,10680,12,1.5,"Office Trainee","White"
913,5100,"Female",73,55.58,11640,17,31.25,"Office Trainee","White"
915,5400,"Female",72,49.08,9420,15,4.08,"Clerical","White"
916,6300,"Female",66,32.83,9780,12,7.25,"Clerical","White"
919,4500,"Female",81,25.08,9960,12,0,"Office Trainee","White"
924,4380,"Female",81,25.25,7860,12,0.92,"Office Trainee","White"
929,6900,"Female",80,30.17,13800,16,0.25,"Office Trainee","White"
937,7200,"Female",71,30.08,14640,16,1,"Office Trainee","White"
941,4380,"Female",81,24.92,8820,12,0.75,"Office Trainee","White"
942,6996,"Female",79,28.42,17200,16,1.67,"College Trainee","White"
943,6300,"Female",90,29.92,15120,16,0.58,"College Trainee","White"
945,3900,"Female",86,52,8760,12,13,"Clerical","White"
947,5160,"Female",87,26.67,10680,12,1.5,"Clerical","White"
949,4080,"Female",72,52.17,7980,12,4.67,"Clerical","White"
953,4620,"Female",91,63.25,8400,12,9,"Clerical","White"
954,5100,"Female",98,47.58,11160,15,9.58,"Clerical","White"
955,4800,"Female",81,24.58,10200,12,0.92,"Office Trainee","White"
957,7200,"Female",71,27.5,23250,16,0.92,"MBA Trainee","White"
963,5580,"Female",88,27.33,11400,12,2.83,"Clerical","White"
969,4080,"Female",68,62.33,6480,12,15,"Clerical","White"
970,4440,"Female",67,27.08,12540,15,3.92,"Office Trainee","White"
980,6300,"Female",82,29.17,9300,16,0.33,"Office Trainee","White"
981,4860,"Female",77,24.33,13800,12,0.33,"Office Trainee","White"
987,5820,"Female",93,31.5,13920,16,0.67,"Clerical","White"
988,4800,"Female",79,50.17,8340,8,5.83,"Clerical","White"
989,5400,"Female",98,47.33,9600,12,20.33,"Clerical","White"
991,4020,"Female",92,44,9840,12,3.67,"Clerical","White"
994,5100,"Female",81,27.17,11280,15,1.58,"Office Trainee","White"
995,3900,"Female",86,62,7260,12,6,"Clerical","White"
1000,4980,"Female",74,59.83,8700,8,26.5,"Clerical","White"
1004,6120,"Female",72,25.75,11760,12,2.5,"Office Trainee","White"
1011,4500,"Female",83,25.83,9600,12,1.33,"Office Trainee","White"
1012,5700,"Female",63,25.08,11760,12,0.75,"Office Trainee","White"
1015,5400,"Female",78,27.17,9840,12,3.92,"Office Trainee","White"
1023,6000,"Female",97,30.58,15540,16,1.42,"Clerical","White"
1028,5400,"Female",94,29.5,10560,15,0.25,"Office Trainee","White"
1030,7800,"Female",65,30.75,13764,16,6.58,"College Trainee","White"
1031,5280,"Female",88,54.42,9780,12,8.92,"Clerical","White"
1032,6900,"Female",86,32,18750,16,1.58,"College Trainee","White"
1034,4200,"Female",90,58,7500,15,4.5,"Clerical","White"
1036,5700,"Female",65,59.5,8280,15,20.08,"Clerical","White"
1039,7200,"Female",75,28.75,14820,15,0.42,"Office Trainee","White"
1042,6300,"Female",73,54.08,15060,12,11,"Clerical","White"
1043,4800,"Female",79,24.33,9780,12,0.67,"Office Trainee","White"
1050,4200,"Female",92,25.5,11400,12,0.5,"Office Trainee","White"
1051,7992,"Female",64,29,22300,16,3,"College Trainee","White"
1054,4380,"Female",79,24.67,9900,12,0.42,"Office Trainee","White"
1056,5400,"Female",90,28.75,13020,15,1.83,"Office Trainee","White"
1058,7200,"Female",93,32.5,20400,16,1.83,"Clerical","White"
1059,4500,"Female",68,23.42,9120,12,0.17,"Office Trainee","White"
1062,6000,"Female",90,44.5,13320,12,0.25,"Office Trainee","White"
1063,6600,"Female",90,30.42,15420,16,0,"Office Trainee","White"
1064,5100,"Female",69,24.42,9540,12,1.67,"Office Trainee","White"
1066,4080,"Female",83,59.08,7920,8,6.25,"Clerical","White"
1069,4800,"Female",87,53.92,8340,12,13.58,"Clerical","White"
1076,4380,"Female",80,25,7260,12,0,"Office Trainee","White"
1078,5400,"Female",67,51.5,8340,12,15.08,"Office Trainee","White"
1081,7800,"Female",68,27.58,17400,16,0.92,"College Trainee","White"
1083,4080,"Female",84,62.42,6600,12,24,"Clerical","White"
1085,6600,"Female",98,43.92,12120,16,11.92,"Office Trainee","White"
1086,4800,"Female",82,28.17,13560,12,0.92,"Clerical","White"
1087,5700,"Female",82,30.17,10260,15,4.25,"Clerical","White"
1090,7200,"Female",78,28.5,13020,15,0.5,"Office Trainee","White"
1091,5400,"Female",73,27.33,11160,12,2.67,"Office Trainee","White"
1092,4380,"Female",93,25.25,9720,12,0.42,"Clerical","White"
1099,5580,"Female",72,27.33,11520,12,1.5,"Office Trainee","White"
1100,4380,"Female",89,25.83,10500,12,0,"Clerical","White"
1102,4500,"Female",69,23.67,9120,12,0,"Office Trainee","White"
1107,3900,"Female",88,62.5,6660,8,34.33,"Clerical","White"
1108,4500,"Female",69,23.67,8280,12,0.17,"Office Trainee","White"
1110,5580,"Female",64,29.08,10080,15,4.75,"Office Trainee","White"
1125,4800,"Female",73,60.5,8460,8,13.25,"Office Trainee","White"
1127,4080,"Female",72,56.92,6780,8,26.58,"Clerical","White"
1128,4080,"Female",82,53.92,6900,12,29.83,"Clerical","White"
1129,4500,"Female",81,24.08,9240,12,1.08,"Office Trainee","White"
626,5400,"Male",88,29.92,10680,12,3.17,"Clerical","Non-White"
629,5400,"Male",96,39.5,11640,12,9.42,"Clerical","Non-White"
634,6996,"Male",67,41.67,13320,16,10,"Clerical","Non-White"
636,5100,"Male",84,44.58,7860,12,15,"Clerical","Non-White"
638,6420,"Male",67,51.42,10500,8,8.08,"Clerical","Non-White"
640,4800,"Male",98,27.83,11340,8,2.17,"Office Trainee","Non-White"
643,6600,"Male",66,30.75,11220,15,7,"Clerical","Non-White"
654,5100,"Male",97,53.08,8700,12,26.25,"Clerical","Non-White"
661,5760,"Male",86,28.67,10200,12,3.08,"Office Trainee","Non-White"
668,6600,"Male",83,44.67,12240,15,18,"Clerical","Non-White"
676,6300,"Male",79,48.5,13800,8,20.5,"Security Officer","Non-White"
678,6000,"Male",92,60.67,12300,8,36,"Security Officer","Non-White"
679,6000,"Male",82,59.75,9000,15,30.92,"Clerical","Non-White"
687,6300,"Male",68,32.92,12120,8,12.92,"Security Officer","Non-White"
689,7200,"Male",70,47.33,10800,17,16,"Clerical","Non-White"
693,6300,"Male",76,35.25,11820,8,12,"Security Officer","Non-White"
694,6000,"Male",86,29.33,10620,12,3.17,"Clerical","Non-White"
703,5700,"Male",94,32.67,11220,15,3,"Clerical","Non-White"
725,6000,"Male",78,33.83,10620,16,8.75,"Office Trainee","Non-White"
727,6000,"Male",87,31,14100,15,4.5,"Clerical","Non-White"
730,6000,"Male",90,37.5,10980,12,14.42,"Office Trainee","Non-White"
747,6000,"Male",91,30.33,12180,12,4.08,"Clerical","Non-White"
752,6000,"Male",77,33.5,11100,15,4.33,"Clerical","Non-White"
773,7800,"Male",92,40.58,16080,17,14,"Clerical","Non-White"
775,6000,"Male",83,43.42,11580,15,9,"Clerical","Non-White"
776,6000,"Male",80,57.17,8940,12,22.67,"Clerical","Non-White"
789,6300,"Male",67,29.33,12780,15,4.83,"Office Trainee","Non-White"
792,6000,"Male",87,30.33,10680,15,4.67,"Clerical","Non-White"
794,4620,"Male",77,24.42,11100,12,1,"Clerical","Non-White"
799,6300,"Male",64,29.67,10500,12,5.75,"Clerical","Non-White"
807,5220,"Male",85,28.67,10080,12,2.42,"Clerical","Non-White"
811,13500,"Male",74,48.25,23760,12,22.67,"Exempt Employee","Non-White"
820,6300,"Male",70,34.58,9600,12,10,"Clerical","Non-White"
840,6600,"Male",83,28.33,15360,15,5.33,"Clerical","Non-White"
846,6300,"Male",73,38.67,12480,12,12.92,"Security Officer","Non-White"
889,6300,"Male",76,28.33,10680,12,1.5,"Office Trainee","Non-White"
890,4560,"Male",81,24.75,10200,12,0.75,"Office Trainee","Non-White"
891,6000,"Male",96,31.92,12540,15,4.08,"Office Trainee","Non-White"
899,5400,"Male",78,25.42,12600,12,0.58,"Clerical","Non-White"
910,11496,"Male",70,32.08,31400,17,5.58,"College Trainee","Non-White"
